"Konto";"DE00000000000000000000"
"Zeitraum:";"03.01.2025 - 30.06.26"
"Kontostand vom 30.06.26";"1234,56"
""
"Buchungsdatum";"Wertstellung";"Status";"Zahlungspflichtige*r";"Zahlungsempfänger*in";"Verwendungszweck";"Umsatztyp";"IBAN";"Betrag (€)";"Gläubiger-ID";"Mandatsreferenz";"Kundenreferenz"
"03.01.25";"03.01.25";"Gebucht";"";"";"Gehalt Januar 2025";"Gutschrift";"DE00000000000000000000";"1500,0";"";"";""
"21.01.25";"21.01.25";"Gebucht";"";"Mustervermieter GbR";"Miete Wohnung";"Lastschrift";"DE00000000000000000000";"-507,46";"";"";""
"12.01.25";"12.01.25";"Gebucht";"";"Streaming GmbH";"Abo Streaming";"Lastschrift";"DE00000000000000000000";"-16,1";"";"";""
"24.01.25";"24.01.25";"Gebucht";"";"Gym Studio AG";"Mitgliedschaft Gym";"Lastschrift";"DE00000000000000000000";"-20,4";"";"";""
"15.01.25";"15.01.25";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-70,55";"";"";""
"27.01.25";"27.01.25";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-40,3";"";"";""
"14.01.25";"14.01.25";"Gebucht";"";"Lieferando";"Bestellung";"Lastschrift";"DE00000000000000000000";"-39,16";"";"";""
"11.01.25";"11.01.25";"Gebucht";"";"Aral";"Tankfuellung";"Lastschrift";"DE00000000000000000000";"-86,19";"";"";""
"15.01.25";"15.01.25";"Gebucht";"";"Amazon Payments";"Bestellung";"Lastschrift";"DE00000000000000000000";"-31,82";"";"";""
"12.01.25";"12.01.25";"Gebucht";"";"Deutsche Bahn";"Fahrkarte";"Lastschrift";"DE00000000000000000000";"-23,84";"";"";""
"08.01.25";"08.01.25";"Gebucht";"";"Sparkonto Transfer";"Sparen";"Lastschrift";"DE00000000000000000000";"-128,07";"";"";""
"18.01.25";"18.01.25";"Gebucht";"";"Zahnarzt Mustermann";"Behandlung";"Lastschrift";"DE00000000000000000000";"-180,0";"";"";""
"19.02.25";"19.02.25";"Gebucht";"";"";"Gehalt Februar 2025";"Gutschrift";"DE00000000000000000000";"1500,0";"";"";""
"10.02.25";"10.02.25";"Gebucht";"";"Mustervermieter GbR";"Miete Wohnung";"Lastschrift";"DE00000000000000000000";"-686,15";"";"";""
"13.02.25";"13.02.25";"Gebucht";"";"Streaming GmbH";"Abo Streaming";"Lastschrift";"DE00000000000000000000";"-16,83";"";"";""
"06.02.25";"06.02.25";"Gebucht";"";"Gym Studio AG";"Mitgliedschaft Gym";"Lastschrift";"DE00000000000000000000";"-23,64";"";"";""
"22.02.25";"22.02.25";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-46,29";"";"";""
"03.02.25";"03.02.25";"Gebucht";"";"Aldi";"Einkauf";"Lastschrift";"DE00000000000000000000";"-55,8";"";"";""
"24.02.25";"24.02.25";"Gebucht";"";"Lieferando";"Bestellung";"Lastschrift";"DE00000000000000000000";"-27,44";"";"";""
"08.02.25";"08.02.25";"Gebucht";"";"Aral";"Tankfuellung";"Lastschrift";"DE00000000000000000000";"-57,12";"";"";""
"01.02.25";"01.02.25";"Gebucht";"";"Amazon Payments";"Bestellung";"Lastschrift";"DE00000000000000000000";"-35,9";"";"";""
